tweet;clean_tweet;sentiment_svm;sentiment_smote
Makan Bergizi Belajar Lebih Berenergi! Anak-anak Indonesia butuh tenaga untuk belajar dan bermimpi. Program Makan Bergizi Gratis (MBG) hadir memastikan tak ada lagi siswa yang belajar dalam keadaan lapar. #MBG #AnakSehatAnakCerdas #MakanBergiziGratis https://t.co/qCFyLaxXpi;makan bergizi ajar lebih berenergi anakanak indonesia butuh tenaga ajar bermimpi program makan bergizi gratis mbg hadir memastikan tak ada lagi siswa ajar dalam keadaan lapar;positif;positif
"SHOPEEFOOD MAKAN GRATIS DISKON 100% s/d 88 RIBU ??JAM 15:08 Refresh di sini -&gt; https://t.co/AmkiFeSmyQ goib https://t.co/qGPVF4WOhp";shopeefood makan gratis diskon sd ribu jam refresh sini gt goib;netral;netral
lah kan kmren pd milihny makan siang gratis drpd pendidikan??;lah kan kmren pd milihny makan siang gratis drpd pendidikan;negatif;negatif
@Orioosn Harusnya tuh kita ga usah ada program makan bergizi gratis gak sih ka? Yang kita butuhin sekarang itu kan program 1 RUMAH 1 NANAMI KENTO ;harusnya tuh kita ga usah ada program makan bergizi gratis gak sih ka kita butuhin sekarang kan program rumah nanami kento;negatif;negatif
Kosong https://t.co/hjmwS77psn;kosong;negatif;negatif
@CNNIndonesia Awalnya Makan Bergizi Gratis berubah jadi Makan Beracun Gratis??? Lebih baik distop karena tidak selamanya yang gratis itu baik.;awalnya makan bergizi gratis berubah makan beracun gratis lebih baik distop tidak selamanya gratis baik;negatif;negatif
Eliminasi kah mbg ini;eliminasi kah mbg;negatif;negatif
Cegah Keracunan MBG Berulang Ini yang Akan Dilakukan SPPG di Sleman https://t.co/lyRii6TsJw;cegah keracunan mbg berulang akan dilakukan sppg sleman;positif;positif
@MemeComicIndo Makan gratis sekolah gratis dan naikan gaji guru itu janji prabowo. Kalau tidak dipenuhi semua prabowo sama kayak jokowi yaitu hanya mbacot. https://t.co/OiOrk8UwC8;makan gratis sekolah gratis naikan gaji guru janji prabowo kalau tidak dipenuhi semua prabowo sama kayak jokowi yaitu hanya mbacot;negatif;negatif
Oyy daripada kalian ngepunkkk leh join kos kos keren ini! Katanya gratis wifi gratis makan gratis air juga https://t.co/A6xUwAmyYF;oyy daripada kalian ngepunkkk leh join kos kos keren katanya gratis wifi gratis makan gratis air;positif;positif
Adepannya kursi doang orang nya lagi pda ngopi ama ngeteh sambil ngegibahin program makan siang gratis bjir??kalo kata otak gw tu gw disuruh duduk dikursi ntu tpi tkut ditempeleng pakpolnya https://t.co/BHrFlYUNMl;adepannya kursi doang orang nya lagi pda ngopi ama ngeteh sambil ngegibahin program makan siang gratis bjirkalo kata otak gw tu gw disuruh duduk dikursi ntu tpi tkut ditempeleng pakpolnya;negatif;negatif
Terkait Insiden Keracunan Massal MBG Prabowo Panggil Kepala BGN ke Istana https://t.co/DY0nAkjGXj https://t.co/vGALgrGOo6;terkait insiden keracunan massal mbg prabowo panggil kepala bgn istana;netral;netral
Memang ada kandungan protein tp kdg bikin gatal² bagi yg alergi. Anehnya di rumah ortunya pada disiapkan lauk daging ayam sapi telor ikan ehhh di sekolah dikasih lauk ulat dan belalang. Kalo ga cukup dana yasudah hentikan program makan siang gratis gitu aja koq repot;memang ada kandungan protein tp kdg bikin gatal bagi yg alergi anehnya rumah ortunya disiapkan lauk daging ayam sapi telor ikan ehhh sekolah dikasih lauk ulat belalang kalo ga cukup dana yasudah hentikan program makan siang gratis gitu aja koq repot;negatif;negatif
Adik diperbaiki gizinya? Adik-adik gwech gak pada dapat MSG (makan siang gratis). Kenapa msg? Isinya yang aku lihat gak bergizi semua. Ortu dikasih diskon listrik? Tanpa diskon juga masih mampu beli. Diskon dua kali 50% saja. Selebihnya? Gas? Air? Makanan pokok? Naik dan langka.;adik diperbaiki gizinya adikadik gwech gak dapat msg makan siang gratis kenapa msg isinya aku lihat gak bergizi semua ortu dikasih diskon listrik tanpa diskon masih mampu beli diskon dua kali saja selebihnya gas air makan pokok naik langka;negatif;negatif
"@SubwIdo @hikmetNuraan @aniesbaswedan Berikut fakta kebijakan kontroversial Prabowo sebagai Presiden beserta bukti dari sumber beragam: 1. Program Makan Siang Gratis: Dialokasikan dana pendidikan picu protes (14M tweet). Bukti: CSIS &amp; Australian Institute of International Affairs (2025 reports). 2. Larangan";berikut fakta kebijakan kontroversial prabowo presiden beserta bukti sumber beragam program makan siang gratis dialokasikan dana pendidikan picu protes m tweet bukti csis amp australian institute of international affairs reports larangan;negatif;negatif
Ini yang ngetik gitu pihak sekolah? Jelek banget ketikannya. Padahal ya sekolah tuh bisa kok nolak mbg dan gak akan gimana-gimana juga (setau aku) paling dapurnya yang bakal bingung soalnya kurang sekolah buat dikasih mbgnya;ngetik gitu pihak sekolah jelek banget ketikannya padahal ya sekolah tuh bisa kok nolak mbg gak akan gimanagimana setau aku paling dapurnya bakal bingung soalnya kurang sekolah buat dikasih mbgnya;negatif;negatif
Dan gak perlu ada bagi2 makan gratis atau bansos beginilah nasib Ummat 58%;gak perlu ada bagi makan gratis bansos beginilah nasib ummat;negatif;negatif
KLAIM CPTTT SHOPEEFOOD MAKAN GRATIS DISKON 100% UDH ON - khusus untuk pengguna baru spaylater - semua resto klaim di sini https://t.co/RTexTC663Z https://t.co/45lzT1r3jm;klaim cpttt shopeefood makan gratis diskon udh on khusus pengguna baru spaylater semua resto klaim sini;netral;netral
Dulu pernah debat sama pendukung 02 yg kekeuh bgt MBG tuh program yg dibutuhkan org Indonesia. Mikirin dia sekarang tidurnya nyenyak gak ya.;dulu pernah debat sama pendukung yg kekeuh bgt mbg tuh program yg dibutuhkan org indonesia mikirin dia sekarang tidurnya nyenyak gak ya;negatif;negatif
Kebayang dosa orng2 yng dpet jatah dri MBG.. denger2 sampe ada yng sering dipake buat jalan2 ke LN dri jatah MBG ini ;kebayang dosa orng yng dpet jatah dri mbg denger sampe ada yng sering dipake buat jalan ln dri jatah mbg;negatif;negatif
Perubahan Struktur Badan Gizi Pemerintah berencana mengubah struktur Badan Gizi Nasional setelah berbagai persoalan muncul dalam pelaksanaan makan siang gratis. Diklaim untuk meningkatkan efektivitas lembaga. Simak selengkapnya Program Bocor Alus Politik di Channel Youtube https://t.co/63Y4jMF7EP;perubahan struktur badan gizi pemerintah berencana mengubah struktur badan gizi nasional setelah berbagai persoalan muncul dalam pelaksanaan makan siang gratis diklaim meningkatkan efektivitas lembaga simak selengkapnya program bocor alus politik channel youtube;positif;positif
- makan siang gratis tp dibagiin jam set 10 - dilarang mengunggah video atau foto terkait kecacatan MBG. https://t.co/HwNN32CHDi;makan siang gratis tp dibagiin jam set dilarang mengunggah video foto terkait kecacatan mbg;netral;netral
Menyoal MBG dan Lapangan Kerja antara Berdikari dan Memanjakan Diri https://t.co/sNCT2Bf4nz;menyoal mbg lapangan kerja antara berdikari memanjakan diri;netral;netral
Wakapolri Komjen Pol. Dedi Prasetyo memimpin groundbreaking 436 SPPG Polri serentak di Indonesia sebagai dukungan Program Makan Bergizi Gratis. Program ini menargetkan peningkatan gizi penyerapan tenaga kerja dan penguatan ekonomi daerah. https://t.co/1cT5ym38FJ;wakapolri komjen pol dedi prasetyo memimpin groundbreaking sppg polri serentak indonesia dukungan program makan bergizi gratis program menargetkan peningkatan gizi penyerapan tenaga kerja penguatan ekonomi daerah;positif;positif
emang dari awal program makan siang gratis tuh ga guna;emang awal program makan siang gratis tuh ga guna;negatif;negatif
WKSKWKWKW BARU TAU ADA IKLAN MBG;wkskwkwkw baru tau ada iklan mbg;netral;netral
Menu MBG untuk Ibu dan Balita Harus Utamakan Pangan Lokal https://t.co/UnZsRX572L;menu mbg ibu balita harus utamakan pangan lokal;netral;netral
KAMPANYE : 3 Juta Rumah Gratis FAKTANYA ? Jadi Rumah Subsidi Dan Harus Berpenghasilan 14 Jt KAMPANYE : Makan Siang Gratis FAKTANYA ? Jadi Makan Beracun Gratis https://t.co/B2VEAxX2BS;kampanye juta rumah gratis faktanya rumah subsidi harus berpenghasilan jt kampanye makan siang gratis faktanya makan beracun gratis;negatif;negatif
@Ary_PrasKe2 @merapi_uncover @budiman0110 @robynazwa46 @Mmahalik2 @YohSudarman @Pakbhabin_id @ArifYusra3 @thelastprince65 @twittiAlvi @RinaRici1 Sangat setuju percobaan Makan Bergizi Gratis dengan lauk nya serangga daging ulat dan lainnya dimulai dari keluarga nya Pak Dadan Hindayana anak cucu atau ponakan Ketua Badan Gizi Nasional dipublikasikan secara luas untuk sosialisasi.;sangat setuju percobaan makan bergizi gratis lauk nya serangga daging ulat lainnya dimulai keluarga nya pak dadan hindayana anak cucu ponakan ketua badan gizi nasional dipublikasikan secara luas sosialisasi;positif;positif
Kok Indo ga bisa ya Makan Siang Gratis begini?? Padahal warga mereka lebih banyak loh;kok indo ga bisa ya makan siang gratis begini padahal warga mereka lebih banyak loh;negatif;negatif
Biar MBG boleh lanjut. https://t.co/WF5SpsDqNg;biar mbg boleh lanjut;negatif;negatif
BGN menetapkan batas maksimal porsi Makan Bergizi Gratis (MBG) sebanyak 3.000 porsi per dapur #MorningBreakfast #KBFM #RadioKalimaya #RadioSebayaMudaMalangRaya #RadioAnakMuda #RadioDewasaMuda https://t.co/6RmhMofFum;bgn menetapkan batas maksimal porsi makan bergizi gratis mbg sebanyak porsi per dapur;positif;positif
@dodok_jr @christkeju2 @meliksumanandar @kompascom Ya dana MBG Rp300T+ per tahun direncanakan dari realokasi anggaran existing seperti efisiensi belanja non-prioritas bukan dari utang baru tambahan. Kemenkeu tekankan ini untuk jaga rasio utang tetap prudent. Tapi keberhasilan tergantung eksekusi realokasi yang tepat agar tak;ya dana mbg rpt per tahun direncanakan realokasi anggaran existing seperti efisiensi belanja nonprioritas bukan utang baru tambahan kemenkeu tekankan jaga rasio utang tetap prudent tapi keberhasilan tergantung eksekusi realokasi tepat agar tak;netral;netral
@AirinDatangLagi Gk usah khawatir. Ingat aja jampi2 ini 1. Saya punya program makan siang gratis hilirisassi danantara. 2. Kita bangsa besar 3. Apapun masalah anda asing penyebabnya 4. Percaya ormas2 jadi penyelamat Yakimlah jampi2 itu sangat manjur setelah bulan terbit dari barat;gk usah khawatir ingat aja jampi saya punya program makan siang gratis hilirisassi danantara kita bangsa besar apapun masalah anda asing penyebabnya percaya ormas penyelamat yakimlah jampi sangat manjur setelah bulan terbit barat;negatif;negatif
Malem imlek gini kangen muter ke klenteng.. nyari apa? Nyari makan gratis ;malem imlek gini kangen muter klenteng nyari apa nyari makan gratis;netral;netral
pas besok masuk udh dapet makan gratis coi seneng sih tapi kaya MENDING PENDIDIKAN GRATIS GAK SIH? kaya buku fasilitas gitu gratis;pas besok masuk udh dapet makan gratis coi seneng sih tapi kaya mending pendidikan gratis gak sih kaya buku fasilitas gitu gratis;negatif;negatif
@tempodotco Bagaimana dengan program makan siang gratis yang super massif itu ?;bagaimana program makan siang gratis super massif;netral;netral
@Dospemz MBG gk tau bedanya susu berasa dgn berasa susu.. jdi ingat kaleng kental manis yg dlu nmanya susu kental manis trnya gula cair berasa susu. Klo susu berasa itu yg rasa coklat.. stroberi;mbg gk tau bedanya susu berasa dgn berasa susu jdi ingat kaleng kental manis yg dlu nmanya susu kental manis trnya gula cair berasa susu klo susu berasa yg rasa coklat stroberi;negatif;negatif
Makan Bergizi tanpa Ahli Gizi https://t.co/kIOTH0rxe6 Udah bener di awal Makan Siang Gratis . Bawa2 gizi mah berat. Harus disertai edukasi.;makan bergizi tanpa ahli gizi udah bener awal makan siang gratis bawa gizi mah berat harus disertai edukasi;negatif;positif
Dukung program Makan Bergizi Gratis di Papua. #MakanBergiziGratis #mbgpapua #PapuaNKRI #fyp? https://t.co/JnhQ2dLbxb;dukung program makan bergizi gratis papua;positif;positif
pasti jaman sekolah dulu ga ada makan bergizi gratis jdnya sepinter ini. 4.27/4.00 in columbia computer engineering????????? amazingggggg;pasti jaman sekolah dulu ga ada makan bergizi gratis jdnya sepinter in columbia computer engineering amazingggggg;netral;netral
Program MBG bukan sekadar makan gratis tapi investasi masa depan. Anak sehat hari ini Indonesia unggul esok hari! #MakanBergiziGratis #IndonesiaMaju #GenerasiEmas2045 https://t.co/Jr7Jfpjhp7;program mbg bukan sekadar makan gratis tapi investasi masa depan anak sehat hari indonesia unggul esok hari;positif;positif
kuliah mahal anjingg kasian bapa gua woi Prabowo kasih kuliah gratis aja lau drpd makan gratis https://t.co/j9bLTaI2XO;kuliah mahal anjingg kasian bapa gua woi prabowo kasih kuliah gratis aja lau drpd makan gratis;negatif;negatif
Makan bergizi gratis perkuat daya tahan tubuh anak Indonesia #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/dYve5b5frE;makan bergizi gratis perkuat daya tahan tubuh anak indonesia;netral;netral
Rp60 triliun disiapkan untuk penanganan bencana di Sumatra dan Menteri Keuangan menegaskan tidak ada relokasi anggaran MBG! Ini adalah Kerja Nyata yang menjamin program makan bergizi gratis tetap berjalan tanpa gangguan. #LanjutkanMBG Senin #JOSHUA #?????????? #sstvi https://t.co/SlckRw8sQ7;rp triliun disiapkan penanganan bencana sumatra menteri keuangan menegaskan tidak ada relokasi anggaran mbg kerja nyata menjamin program makan bergizi gratis tetap jalan tanpa gangguan senin;positif;positif
https://t.co/WFaBxJagZk kosoong hellpp;kosoong hellpp;netral;netral
naber mulu anjirr;naber mulu anjirr;negatif;negatif
Sing penting makan gratis. Tanpa KPI.;sing penting makan gratis tanpa kpi;positif;positif
Janji Presiden Prabowo untuk makan bergizi gratis ini https://t.co/4XeMjusgAu;janji presiden prabowo makan bergizi gratis;netral;netral
makan siang gratis di cina yang jumlah anak didiknya jauh lebih banyak dr indonesia bisa sukses dan berjalan terus. ya pasti ada aja kurangnya. lantas apakah dihentikan ?. tentu tidak perbaikan dilakukan sembari memperluas jangkauan;makan siang gratis cina jumlah anak didiknya jauh lebih banyak dr indonesia bisa sukses jalan terus ya pasti ada aja kurangnya lantas apakah dihentikan tentu tidak perbaikan dilakukan sembari memperluas jangkauan;negatif;negatif
@salam4jari Kritik menu MBG pun kena mental sakit!;kritik menu mbg pun kena mental sakit;negatif;negatif
Keracunan Massal MBG di Sleman Jadi KLB Ini Kata Dinkes DIY https://t.co/hZarYF9Tl6;keracunan massal mbg sleman klb kata dinkes diy;negatif;negatif
@NayDonuts Komitmen Prabowo dalam menangani isu BGN mencerminkan agenda luasnya untuk memastikan keamanan pangan dan gizi bagi seluruh rakyat Indonesia sejalan dengan program makan siang gratis nasional untuk anak sekolah yang diumumkan selama kampanyenya;komitmen prabowo dalam menangani isu bgn mencerminkan agenda luasnya memastikan keamanan pangan gizi bagi seluruh rakyat indonesia sejalan program makan siang gratis nasional anak sekolah diumumkan selama kampanyenya;positif;positif
BERGIZI tidak GRATIS jg tidak Mending MBG distop tak transparan mekanisme pelaksanaan yg amburadul sumber pendanaan yg menguras bidang lain. Malah dapur militer ikutan masak https://t.co/nizFrT1bxB;bergizi tidak gratis jg tidak mending mbg distop tak transparan mekanisme pelaksanaan yg amburadul sumber pendanaan yg menguras bidang lain malah dapur militer ikutan masak;negatif;negatif
"@wibisonoys @BosPurwa @KPK_RI Saya paham frustrasimu soal MBG. Dari data terbaru (Kompas &amp; CELIOS Des 2025) ada perbaikan seperti audit ketat &amp; opsi non-sekolah tapi kritik soal pemborosan tetap ada. Mau diskusi aspek spesifik? Yuk share pendapatmu lebih lanjut.";saya paham frustrasimu soal mbg data terbaru kompas amp celios des ada perbaikan seperti audit ketat amp opsi nonsekolah tapi kritik soal pemborosan tetap ada mau diskusi aspek spesifik yuk share pendapatmu lebih lanjut;netral;netral
Kegiatan Bhabinkamtibmas Kelurahan soklat monitoring Makan Siang Gratis Polri Untuk Masyarakat yg di loncing Bpk Kapolres Subang Berlokasi di JL RA Kartini Rt 028 Rw 008 Kel Soklat Kec dan Kab Subang. Senin(22/12) #polseksubang #polressubang #poldajabar #polriuntukmasyaraka https://t.co/KFmA7vjjLg;kegiatan bhabinkamtibmas kelurahan soklat monitoring makan siang gratis polri masyarakat yg loncing bpk kapolres subang berlokasi jl ra kartini rt rw kel soklat kec kab subang senin;positif;positif
Ga perlu risau kawan sekolah memang libur tapi MBG tetap disalurkan tidak hanya untuk pelajar tapi juga untuk bumil dan ibu menyusui. Pemerintah berkomitmen untuk kelancaran MBG. Lanjutkan MBG. #LanjutkanMBGCegahStunting AGUSTD Bekasi Ring 1 jungkook https://t.co/bRersod58a;ga perlu risau kawan sekolah memang libur tapi mbg tetap disalurkan tidak hanya ajar tapi bumil ibu menyusui pemerintah berkomitmen kelancaran mbg lanjutkan mbg agustd bekasi ring jungkook;negatif;negatif
Ngantuk bgt njir. Tiba tiba menjadi goyah buat ikut makan makan closingan.... tp makan gratis.... tapi ngantuk.... klo balik ke kos ga sempat istirahat... lama di jalan.......;ngantuk bgt njir tiba tiba menjadi goyah buat ikut makan makan closingan tp makan gratis tapi ngantuk klo balik kos ga sempat istirahat lama jalan;netral;netral
Kedap deui followers 15k Give away wae kitu artos 15k Jiga Makan Siang Gratis Bergiji;kedap deui followers k give away wae kitu artos k jiga makan siang gratis bergiji;netral;netral
Prabowo Belajar Pengalaman Program Makan Siang Gratis dari India https://t.co/YiKOlED0Mt https://t.co/54DeCWgh9F;prabowo ajar pengalaman program makan siang gratis india;netral;netral
membutuhkan progam makan gratis itu wajar saja karna banyak yg masih susah ekonomi nya #KomitmenPemerintahJagaMBG;membutuhkan progam makan gratis wajar saja karna banyak yg masih susah ekonomi nya;negatif;negatif
Program makan siang gratis untuk anak sekolah berhasil menjangkau jutaan siswa. Pemerintah menekankan bahwa generasi sehat adalah pondasi Indonesia emas. #Dirgahayu80NKRI https://t.co/J35rKZUlQk;program makan siang gratis anak sekolah berhasil menjangkau jutaan siswa pemerintah menekankan generasi sehat pondasi indonesia emas;positif;positif
Setuju sih ini contoh yang udh dikerjain pemerintah: bikin anak2 sekolah dan guru2nya kercunan krn makan siang gratis;setuju sih contoh udh dikerjain pemerintah bikin anak sekolah gurunya kercunan krn makan siang gratis;negatif;negatif
laper banget pengen makan siang gratis;laper banget pengen makan siang gratis;netral;netral
@Mdy_Asmara1701 Yap .. satu batal Dan akan muncul pembatalan² yg lain ... Lihat saja Emang ngomong sih gampang .. Makan gratis Sekolah gratis bahkan sampe kuliah Rumah sakit gratis Dan msh banyak lagi JANJI gratis² lain nya .. KENYATAAN NYA ???!!!!!;yap satu batal akan muncul pembatalan yg lain lihat saja emang ngomong sih gampang makan gratis sekolah gratis bahkan sampe kuliah rumah sakit gratis msh banyak lagi janji gratis lain nya kenyataan nya;negatif;negatif
Banyak masyarakat ketika pagi atau upacara selalu lemes jika di tanya mereka akan menjawab belum sarapan seberpengaruh itu makanan gizi untuk anak bangsa #MBGMembangunSDMUnggul Lanjutkan MBG Boleh Orang Palestina https://t.co/r0xOGMwMEs;banyak masyarakat ketika pagi upacara selalu lemes jika tanya mereka akan menjawab belum sarapan seberpengaruh makan gizi anak bangsa lanjutkan mbg boleh orang palestina;positif;positif
Mantap! Lanjutkan MBG Sejarah Baru Sejak Tanggal 6 Januari 2025 Indonesia mencatat sejarah baru dgn dimulainya program Makan Bergizi Gratis atau MBG salah satu andalan pemerintahan Prabowo Subianto. #RakyatDukungPresidenPrabowo Banjir The Trauma Code Coboy Junior Ojol Hujan https://t.co/eieKR9gRQl;mantap lanjutkan mbg sejarah baru sejak tanggal januari indonesia mencatat sejarah baru dgn dimulainya program makan bergizi gratis mbg salah satu andalan pemerintahan prabowo subianto banjir the trauma code coboy junior ojol hujan;netral;netral
Adik gue lagi PKL di sekolah negeri Jakarta dan pas selesai jam istirahat mau makan sm temennya. Terus temennya mesen mie ayam di kantin terus yg jual blg Alhamdulillah akhirnya ada yang beli. Krn semenjak ada makan siang gratis anak-anak jadi jarang jajan.;adik gue lagi pkl sekolah negeri jakarta pas selesai jam istirahat mau makan sm temennya terus temennya mesen mie ayam kantin terus yg jual blg alhamdulillah akhirnya ada beli krn semenjak ada makan siang gratis anakanak jarang jajan;negatif;negatif
Lagi dan lagi kini program makan siang gratis kembali meracuni anak² kita atau generasi penerus bangsa dari kecamatan Kairatu kabupaten Seram Bagian Barat propinsi Maluku. Pak @prabowo apa ini yang anda inginkan? Cc @DokterTifa @msaid_didu https://t.co/oYd6dIxWXU;lagi lagi kini program makan siang gratis kembali meracuni anak kita generasi penerus bangsa kecamatan kairatu kabupaten seram bagian barat propinsi maluku pak apa anda inginkan cc;negatif;negatif
Bukan sekadar makan siang gratis tapi investasi jangka panjang buat generasi sehat cerdas dan berdaya saing tinggi https://t.co/LmrJUSLDyV;bukan sekadar makan siang gratis tapi investasi jangka panjang buat generasi sehat cerdas berdaya saing tinggi;positif;positif
sureee ratusan anak keracunan mbg penggundulan hutan bencana alam kinerja pemerintah yg makin goblok phk demo apalagi ya pak hasil nyatanya?;sureee ratusan anak keracunan mbg penggundulan hutan bencana alam kinerja pemerintah yg makin goblok phk demo apalagi ya pak hasil nyatanya;negatif;negatif
9 hari ini cukup produktif karna ada training trus dpt snack plus makan siang gratis bonusny dpt uang transport jg buat beli escream dan jajan tdi sore;hari cukup produktif karna ada training trus dpt snack plus makan siang gratis bonusny dpt uang transport jg buat beli escream jajan tdi sore;netral;netral
"@xendless_s Hari libur? Tdk ada arahan dr skolahan untuk mengambil MBG &amp; anak ku jg Tdk dpt MBG. Meskipun dapur MBG nya trs mengepul. Ya alhamdullah biar dimakan mreka smua anggaran negara. MBG dihapus ganti lah dngan program yg mmpunyai Progres yg bagus untuk anak anak kita.";hari libur tdk ada arahan dr skolahan ambil mbg amp anak ku jg tdk dpt mbg meskipun dapur mbg nya trs mengepul ya alhamdullah biar makan mreka smua anggaran negara mbg dihapus ganti lah dngan program yg mmpunyai progres yg bagus anak anak kita;negatif;negatif
Banjir longsor banyak korban polisi membunuh ojol keracunan MBG memang sangat nyata;banjir longsor banyak korban polisi membunuh ojol keracunan mbg memang sangat nyata;positif;positif
pemerintah kontollll YANG DIBUTUHIN ITU PENDIDIKAN GRATIS BUKAN MAKAN SIANG GRATIS ANJGGGGGG @prabowo paham gak ndut;pemerintah kontollll dibutuhin pendidikan gratis bukan makan siang gratis anjgggggg paham gak ndut;negatif;negatif
Polrestabes Palembang Gelar Bakti Sosial Berbagi Makan Siang Gratis di Lokasi Aksi Unjuk Rasa Polrestabes Palembang kembali menunjukkan kepeduliannya terhadap masyarakat melalui kegiatan bakti sosial berupa pemberian makan siang gratis. https://t.co/WXFGBXOPDz;polrestabes palembang gelar bakti sosial berbagi makan siang gratis lokasi aksi unjuk rasa polrestabes palembang kembali menunjukkan kepeduliannya terhadap masyarakat melalui kegiatan bakti sosial berupa beri makan siang gratis;positif;positif
mbg pagi jungwoo?;mbg pagi jungwoo;netral;netral
Kucurkan Rp335 T Buat MBG Prabowo: Perputaran Ekonomi Bisa Rp900 T https://t.co/S3bzibK5mq;kucurkan rp t buat mbg prabowo perputaran ekonomi bisa rp t;netral;netral
MAKAN SIANG GRATIS DARI NENEK ;makan siang gratis nenek;positif;positif
@AirinDatangLagi Mosok murid kayak gini mau di kasih makan gratis? Mrk hrs dihukum..bangsat!;mosok murid kayak gini mau kasih makan gratis mrk hrs dihukumbangsat;negatif;negatif
